image_name,mean_letter_height,std_letter_height,mean_letter_width,std_letter_width,letter_height_cv,proportion_consistency_std,letter_spacing,word_spacing,stroke_length_total,corner_count,corner_density,num_components,total_ink_area,component_density,horizontal_regularity_baseline_std,vertical_regularity_height_std,margin_alignment_std,slant_angle_deg,dysgraphia_label,dysgraphia_score,ml_prediction,ml_confidence,source_file
Same lines_page1,19.510344827586206,9.93573643479856,22.841379310344827,13.53191673456854,0.5092547575835459,0.6678970009116617,-24.1,-4.599999999999994,288328.5446951381,500,0.020527979635401403,145,24357.0,0.005953114094266407,4.172937131105971,9.93573643479856,216.27296752109473,0.0,No Strong Indicators,1,Normal,68.67,Same lines.pdf
Same lines_page2,14.11049723756906,9.214386438190708,17.629834254143645,12.95811333016889,0.653016377101235,0.7704087267740412,-17.0,-3.0,214085.6067038835,500,0.020680812341453414,181,24177.0,0.007486454067606136,4.893425345175639,9.214386438190708,216.21218354133538,0.0,Dysgraphic,3,Normal,71.33,Same lines.pdf
Same lines_page3,27.676190476190477,18.941260197475792,45.48571428571429,45.39626883885718,0.6843882480640716,0.8382748181834876,-52.1,-5.0,363800.1562783636,500,0.009441444163120937,105,52958.0,0.0019827032742553968,4.059581225526536,18.941260197475792,150.3348956885194,0.0,Dysgraphic,5,Normal,60.67,Same lines.pdf
Same lines_page4,16.738255033557046,7.034331890308531,20.664429530201343,15.503890283935485,0.42025476705613907,0.6806713491234724,-19.9,-4.0,182595.8543443438,500,0.016853175137627976,149,29668.0,0.005022246191013137,3.5652121149571636,7.034331890308531,181.6381034160647,0.0,No Strong Indicators,1,Normal,75.67,Same lines.pdf
Same lines_page5,17.822580645161292,19.59964136731505,19.080645161290324,12.113440132424456,1.0997083227073456,0.7312185654707917,-20.0,-6.0,512716.76244348433,500,0.012867032090046913,248,38859.0,0.006382047916663269,9.946460346785646,19.59964136731505,181.02181930219228,0.0,Dysgraphic,4,Normal,73.33,Same lines.pdf
