Dataset,Model,CV Accuracy,Accuracy,F1 Score,Precision,Recall,AUC
POOLED (all 3),Random Forest,0.6938,0.6964,0.59,0.5933,0.5867,0.7462
POOLED (all 3),Gradient Boosting,0.7295,0.727,0.6043,0.6562,0.56,0.7805
POOLED (all 3),SVM (RBF),0.6761,0.6751,0.4853,0.5915,0.4114,0.7048
POOLED (all 3),KNN,0.692,0.693,0.5743,0.5935,0.5563,0.7347
POOLED (all 3),Logistic Regression,0.6702,0.6806,0.4091,0.6571,0.297,0.6107
